Depth,Gamma,K,U,TH,MagSusc
1.63,19.1135,0.0810,1.6800,0.9990,-0.0218
1.63,17.0808,0.0810,1.6800,0.9990,0.0090
1.63,15.5560,0.0810,1.6800,0.9990,0.0308
1.63,15.5560,0.0810,1.6800,0.9990,0.0258
1.63,15.5560,0.0810,1.6800,0.9990,0.0208
1.64,19.5672,0.0772,1.8763,0.9990,0.0039
1.64,18.2300,0.0784,1.8109,0.9990,0.0029
1.64,16.8929,0.0797,1.7454,0.9990,0.0020
1.64,15.5560,0.0810,1.6800,0.9990,0.0159
1.64,15.5560,0.0810,1.6800,0.9990,0.0109
1.64,15.5560,0.0810,1.6800,0.9990,0.0060
1.64,15.5560,0.0810,1.6800,0.9990,0.0021
1.65,29.0360,0.0730,2.0890,0.9990,-0.0251
1.65,27.1731,0.0730,2.0890,0.9990,-0.0134
1.65,25.3102,0.0730,2.0890,0.9990,-0.0018
1.65,23.5787,0.0733,2.0726,0.9990,0.0052
1.65,22.2416,0.0746,2.0072,0.9990,0.0058
1.65,20.9044,0.0759,1.9418,0.9990,0.0048
1.66,35.5559,0.0730,2.0890,0.9990,-0.0622
1.66,35.5559,0.0730,2.0890,0.9990,-0.0545
1.66,35.5559,0.0730,2.0890,0.9990,-0.0468
1.66,34.6246,0.0730,2.0890,0.9990,-0.0589
1.66,32.7617,0.0730,2.0890,0.9990,-0.0485
1.66,30.8988,0.0730,2.0890,0.9990,-0.0368
1.67,35.5559,0.0730,2.0890,0.9990,-0.0391
1.67,35.5560,0.0730,2.0890,0.9990,-0.0314
1.67,35.5560,0.0730,2.0890,0.9990,-0.0238
1.67,35.0036,0.0730,2.0890,0.9990,-0.0156
1.67,32.7929,0.0730,2.0890,0.9990,-0.0060
1.67,30.5822,0.0730,2.0890,0.9990,0.0036
1.68,28.3715,0.0730,2.0890,0.9990,0.0132
1.68,26.1607,0.0730,2.0890,0.9990,0.0228
1.68,23.9502,0.0730,2.0890,0.9990,0.0324
1.68,21.7390,0.0730,2.0890,0.9990,0.0358
1.68,20.3944,0.0730,2.0890,0.9990,0.0183
1.68,19.0494,0.0730,2.0890,0.9990,-0.0053
1.68,17.7045,0.0730,2.0890,0.9990,-0.0290
1.69,16.3596,0.0730,2.0890,0.9990,-0.0527
1.69,15.0146,0.0730,2.0890,0.9990,-0.0764
1.69,13.6697,0.0730,2.0890,0.9990,-0.0961
1.69,13.3330,0.0730,2.0890,0.9990,-0.1002
1.69,13.3330,0.0730,2.0890,0.9990,-0.0926
1.69,13.3330,0.0730,2.0890,0.9990,-0.0849
1.7,13.3330,0.0730,2.0890,0.9990,-0.0772
1.7,13.3330,0.0730,2.0890,0.9990,-0.0695
1.7,13.3330,0.0730,2.0890,0.9990,-0.0617
1.7,13.4837,0.0730,2.0890,0.9990,-0.0530
1.7,13.7852,0.0730,2.0890,0.9990,-0.0431
1.7,14.0866,0.0730,2.0890,0.9990,-0.0332
1.71,14.3880,0.0730,2.0890,0.9990,-0.0233
1.71,14.6895,0.0730,2.0890,0.9990,-0.0134
1.71,14.9909,0.0730,2.0890,0.9990,-0.0034
1.71,15.5860,0.0730,2.0890,0.9990,-0.0036
1.71,17.0623,0.0730,2.0890,0.9990,-0.0340
1.71,18.5385,0.0730,2.0890,0.9990,-0.0644
1.72,20.0149,0.0730,2.0890,0.9990,-0.0948
1.72,21.4912,0.0730,2.0890,0.9990,-0.1252
1.72,22.9675,0.0730,2.0890,0.9990,-0.1556
1.72,24.4440,0.0730,2.0890,0.9990,-0.1811
1.72,24.4440,0.0720,2.0853,0.9990,-0.1902
1.72,24.4440,0.0711,2.0816,0.9990,-0.1943
1.72,24.4440,0.0701,2.0780,0.9990,-0.1985
1.73,24.4440,0.0692,2.0743,0.9990,-0.2026
1.73,24.4440,0.0682,2.0706,0.9990,-0.2068
1.73,24.4440,0.0672,2.0669,0.9990,-0.2079
1.73,23.5980,0.0663,2.0632,0.9990,-0.1965
1.73,22.4694,0.0653,2.0596,0.9990,-0.1759
1.73,21.3409,0.0644,2.0559,0.9990,-0.1553
1.74,17.3911,0.0582,2.2030,0.9990,-0.0558
1.74,17.3911,0.0593,2.1390,0.9990,-0.0667
1.74,17.3912,0.0604,2.0750,0.9990,-0.0776
1.74,20.2124,0.0634,2.0522,0.9990,-0.1346
1.74,19.0838,0.0624,2.0485,0.9990,-0.1140
1.74,17.9553,0.0615,2.0448,0.9990,-0.0939
1.75,20.7303,0.0511,2.5870,0.9990,0.0221
1.75,19.2461,0.0524,2.5230,0.9990,0.0056
1.75,17.7620,0.0537,2.4590,0.9990,-0.0109
1.75,17.3910,0.0548,2.3950,0.9990,-0.0232
1.75,17.3911,0.0560,2.3310,0.9990,-0.0340
1.75,17.3911,0.0571,2.2670,0.9990,-0.0449
1.76,24.3018,0.0494,2.8540,0.9990,0.1024
1.76,25.0902,0.0482,2.8504,0.9990,0.0976
1.76,25.8787,0.0471,2.8467,0.9990,0.0928
1.76,26.6670,0.0460,2.8430,0.9990,0.0858
1.76,25.1826,0.0473,2.7790,0.9990,0.0715
1.76,23.6985,0.0486,2.7150,0.9990,0.0550
1.76,22.2143,0.0498,2.6510,0.9990,0.0386
1.77,21.9364,0.0527,2.8651,0.9990,0.1155
1.77,22.7248,0.0516,2.8614,0.9990,0.1120
1.77,23.5133,0.0505,2.8577,0.9990,0.1072
1.77,21.7390,0.0538,2.8169,0.9990,0.1140
1.77,21.7390,0.0550,2.7515,0.9990,0.1088
1.77,21.7390,0.0561,2.6861,0.9990,0.1035
1.78,21.7390,0.0572,2.6206,0.9990,0.0982
1.78,21.7390,0.0583,2.5552,0.9990,0.0929
1.78,21.7390,0.0594,2.4897,0.9990,0.0871
1.78,21.2442,0.0606,2.4244,0.9990,0.0777
1.78,20.2549,0.0619,2.3591,0.9990,0.0632
1.78,19.2657,0.0632,2.2938,0.9990,0.0486
1.79,18.2765,0.0645,2.2285,0.9990,0.0340
1.79,16.9992,0.0651,2.1926,0.9990,-0.0200
1.79,17.2872,0.0658,2.1632,0.9990,0.0195
1.79,16.3578,0.0664,2.1288,0.9990,-0.0138
1.79,16.2979,0.0670,2.0980,0.9990,0.0049
1.79,15.7163,0.0677,2.0650,0.9990,-0.0076
1.8,19.5650,0.0600,2.4480,0.9990,-0.0460
