Depth,PenRate,PercPress,FeedPress,FlushAirPress,RotPress,DampPress
0.032,0.782,136.788,24.843,6.105,34.819,39.916
0.054,1.61,139.051,25.812,6.227,35.144,41.11
0.085,1.082,138.691,27.281,6.503,36.061,41.606
0.108,1.533,139.224,32.262,6.594,40.385,42.559
0.128,0.892,136.188,29.486,6.732,38.54,42.873
0.148,0.861,135.918,28.538,6.808,36.992,41.82
0.172,0.899,136.38,28.442,6.9,35.716,41.704
0.199,1.972,136.247,31.28,6.931,38.72,41.739
0.225,1.936,136.133,32.339,6.946,46.583,41.912
0.25,1.903,136.257,32.916,6.946,48.245,42.224
0.276,2.848,135.78,31.726,6.977,52.137,42.003
0.302,2.447,137.088,32.951,7.007,46.659,42.382
0.324,1.4,135.169,31.174,7.038,45.777,42.234
0.348,1.667,135.795,47.187,7.069,54.384,48.476
0.371,1.125,136.513,49.503,7.053,50.755,49.552
0.395,1.21,136.008,50.112,7.069,45.916,49.934
0.428,1.783,138.401,43.414,5.447,38.84,46.114
0.45,1.276,144.254,54.23,5.967,43.894,50.556
0.471,1.273,142.149,53.439,6.242,45.129,52.34
0.492,1.234,141.462,52.787,6.441,45.751,50.086
0.513,1.312,141.574,52.494,6.594,46.86,48.54
0.534,1.998,152.158,62.966,6.671,50.638,55.737
0.559,2.354,167.165,78.133,6.732,52.322,65.471
0.583,2.589,180.982,88.027,6.763,53.685,71.543
0.608,2.306,190.734,89.841,6.808,51.46,71.487
0.629,2.331,192.471,90.096,6.854,51.59,69.31
0.654,2.352,192.904,89.73,6.9,52.346,66.798
0.676,2.333,193.609,89.562,6.946,52.069,67.212
0.704,2.628,193.38,89.323,6.977,52.19,66.745
0.727,2.465,191.896,88.771,6.992,55.323,68.649
0.759,3.012,189.782,83.943,7.023,59.631,63.248
0.779,3.093,174.206,73.233,7.053,57.42,57.236
0.81,3.291,157.002,67.279,7.069,54.807,53.518
0.831,3.074,161.066,67.564,7.099,55.056,54.094
0.862,2.924,153.34,69.984,7.115,55.876,58.449
0.893,2.385,165.213,80.26,7.115,62.947,68.596
0.922,2.148,181.577,82.856,7.13,60.381,69.014
0.946,2.269,185.855,85.179,7.145,59.667,67.673
0.967,2.299,189.03,86.983,7.115,56.113,67.312
0.992,2.389,190.178,89.241,7.115,56.755,71.045
1.014,2.319,190.251,89.136,7.13,55.987,72.637
1.037,2.205,190.587,89.403,7.16,54.14,72.521
1.067,2.195,189.741,89.034,7.13,50.281,71.441
1.087,2.2,190.454,89.057,7.145,49.281,70.775
1.11,2.157,189.777,89.339,7.176,50.162,72.82
1.14,2.23,190.129,88.772,7.176,56.175,71.877
1.161,2.305,190.176,88.851,7.176,54.665,70.05
1.186,2.269,191.088,88.953,7.176,51.42,69.242
1.208,2.418,190.97,88.849,7.16,50.973,69.274
1.231,2.212,189.9,88.71,7.176,50.567,70.011
1.252,2.205,189.441,89.485,7.191,50.078,70.101
1.273,2.047,190.406,89.311,7.176,49.79,70.19
1.296,2.128,190.321,89.093,7.206,50.633,71.06
1.321,2.052,190.016,88.917,7.206,49.826,68.644
1.343,2.129,190.33,89.231,7.206,49.541,68.616
1.366,2.125,189.279,88.954,7.191,49.68,71.683
1.389,1.892,189.963,88.75,7.176,50.119,68.827
1.411,2.105,190.184,89.293,7.191,50.088,68.948
1.434,2.133,190.206,89.259,7.176,49.913,71.159
1.46,2.18,189.136,89.15,7.222,49.456,69.704
1.483,2.172,189.725,88.699,7.206,50.594,69.765
1.509,2.423,189.873,88.286,7.206,51.821,67.383
1.531,2.455,190.637,88.842,7.176,51.345,68.521
1.555,2.253,189.657,88.865,7.176,50.531,70.324
1.583,2.1,190.091,88.902,7.191,50.524,68.94
1.61,2.035,191.165,88.82,7.206,50.204,69.58
1.636,1.975,189.806,89.165,7.222,49.561,69.589
1.663,2.016,189.798,89.234,7.222,49.019,69.943
1.683,2.164,190.138,88.922,7.237,50.29,72.689
1.706,2.093,189.764,89.12,7.252,49.687,70.503
1.734,2.157,190.32,88.975,7.252,50.583,70.767
1.763,2.147,189.892,89.234,7.222,51.202,70.323
1.784,2.25,190.197,88.959,7.222,50.699,70.425
1.808,2.276,190.074,88.815,7.222,51.245,72.592
1.834,2.419,189.93,88.788,7.252,51.022,69.956
1.862,2.168,190.464,89.164,7.267,49.335,70.247
1.889,1.993,189.63,89.236,7.252,48.85,70.665
1.909,2.159,190.321,89.156,7.222,49.348,71.393
1.931,2.077,190.091,88.724,7.237,49.734,72.431
1.957,2,189.998,88.926,7.252,48.297,69.935
1.985,2.09,189.956,88.71,7.237,49.014,69.905
2.006,2.219,190.109,88.986,7.237,51.026,72.142
2.028,2.041,190.076,88.531,7.237,51.105,70.474
2.055,2.077,190.385,88.897,7.222,49.23,72.735
2.084,2.173,190.296,89.034,7.237,50.47,71.845
2.112,2.062,189.811,89.22,7.252,50.533,72.132
2.136,1.848,189.687,89.261,7.252,49.128,72.844
2.16,1.793,190.252,89.096,7.252,49.463,72.691
2.183,1.742,190.503,88.835,7.222,49.325,73.492
2.207,1.799,190.034,89.13,7.222,48.891,70.943
2.227,1.925,190.608,89.327,7.252,49.758,73.279
2.25,1.71,189.596,88.935,7.267,49.928,74.101
2.272,1.668,190.346,89.233,7.252,50.227,73.325
2.297,1.85,189.591,89.022,7.237,51.065,73.487
2.321,1.764,190.338,89.217,7.252,49.638,74.751
2.344,1.761,190.358,88.908,7.267,48.964,72.538
2.367,1.753,190.594,89.172,7.237,48.702,73.253
2.39,1.692,190.097,89.196,7.252,49.482,73.223
2.414,1.89,189.975,88.588,7.283,50.398,72.619
2.442,2.111,189.751,88.559,7.267,51.955,74.633
2.464,2.08,192.392,89.039,7.252,51.331,73.136
2.485,2.25,190.5,88.414,7.252,50.507,71.795
2.51,2.281,190.062,88.821,7.267,50.989,74.171
2.537,2.058,193.697,88.977,7.283,50.165,73.416
2.558,2.241,190.096,88.983,7.283,50.073,72.509
2.582,2.201,189.969,88.993,7.283,50.567,73.249
2.604,2.438,190.2,88.742,7.267,50.241,73.558
2.627,2.157,189.978,89.091,7.267,50.864,75.079
2.655,2.087,190.149,88.975,7.267,50.302,72.841
2.684,2.179,189.804,89.031,7.298,49.703,71.759
2.705,2.237,189.931,89.109,7.298,50.291,73.073
2.728,2.269,189.71,89.087,7.313,50.398,72.376
2.749,2.224,189.641,88.872,7.298,50.518,72.544
2.772,2.122,189.759,89.002,7.298,50.876,72.99
2.793,2.322,190.003,89.159,7.298,50.84,73.393
2.816,2.161,190.542,88.9,7.298,49.953,72.546
2.836,2.155,189.873,88.972,7.313,49.667,71.844
2.86,2.193,190.122,89.331,7.329,49.202,71.88
2.888,2.093,189.246,88.889,7.359,49.331,73.037
2.916,2.134,189.253,88.744,7.359,48.78,71.755
2.936,2.164,189.69,88.683,7.329,48.114,70.827
2.962,2.4,189.928,88.846,7.329,49.088,70.444
2.986,2.575,189.566,89.022,7.329,50.473,71.382
3.013,2.536,189.573,88.648,7.344,49.392,72.178
3.035,2.107,190.015,89.141,7.344,48.934,72.078
3.055,2.251,190.524,89.006,7.344,49.719,72.006
3.081,2.408,189.337,88.645,7.313,50.5,73.051
3.102,2.278,189.045,88.998,7.313,51.341,71.652
3.127,2.251,190.558,89.042,7.329,49.299,70.011
3.148,2.369,189.873,89.204,7.329,49.386,71.545
