Depth,PenRate,PercPress,FeedPress,FlushAirPress,RotPress,DampPress
2.675,2.042,188.545,89.114,6.931,51.732,72.982
2.703,2.141,188.02,89.207,6.946,53.064,72.315
2.724,2.2,188.388,89.217,6.931,53.397,74.76
2.747,2.225,190.976,88.532,6.946,52.835,71.187
2.769,2.333,191.532,88.755,6.946,52.223,71.823
2.795,2.432,191.481,89.022,6.946,53.044,73.207
2.818,2.488,190.947,88.964,6.946,54.32,73.201
2.845,2.492,188.884,88.618,6.962,55.981,74.062
2.865,2.216,190.857,88.885,6.962,55.005,71.003
2.89,2.37,190.909,88.543,6.962,53.734,71.049
2.916,2.467,191.407,88.648,6.946,53.55,72.848
2.94,2.506,191.205,88.232,6.962,53.577,71.447
2.964,2.324,190.282,88.584,6.992,54.82,73.276
2.985,2.169,188.618,89.154,6.977,55.206,73.303
3.009,2.336,189.108,88.992,6.962,54.627,72.696
3.03,2.251,188.74,88.987,6.977,54.611,73.649
3.053,2.125,188.554,89.236,6.992,53.191,73.284
3.075,2.342,190.018,88.86,6.977,52.771,71.973
3.099,2.285,189.837,88.864,6.992,53.839,73.836
3.128,2.186,190.911,88.79,7.007,53.802,70.977
3.149,2.182,191.485,88.887,6.992,52.431,69.653
3.173,2.229,190.785,89.104,6.992,52.395,70.681
3.193,2.206,191.136,89.218,7.023,52.011,69.275
3.215,2.119,189.183,89.364,7.038,52.471,70.171
3.242,2.016,188.242,89.42,7.038,52.462,70.424
3.264,2.102,188.589,89.343,7.038,52.432,70.385
3.292,2.074,190.258,89.168,7.007,51.524,70.203
3.365,4.61,123.31,30.243,3.641,39.853,40.435
3.388,2.401,138.922,55.414,4.468,51.534,55.972
3.408,1.185,143.16,58.177,5.263,53.166,55.977
3.429,1.29,139.573,55.865,5.753,52.925,54.105
3.45,1.242,140.716,54.433,6.151,52.891,51.828
3.475,1.462,148.418,60.429,6.472,53.912,53.524
3.502,2.01,165.798,79.976,6.655,57.87,66.723
3.523,2.214,174.352,89.099,6.747,59.551,78.985
3.546,2.201,189.368,89.71,6.87,57.101,74.768
3.567,2.237,193.3,90.66,6.962,56.506,73.741
3.592,2.309,193.702,90.625,7.053,57.124,76.207
3.613,2.251,194.887,89.48,7.099,55.895,73.446
3.637,2.257,194.448,89.118,7.176,56.751,71.341
3.658,2.296,194.238,89.567,7.222,56.712,73.941
3.683,2.341,193.997,89.455,7.298,56.161,73.858
3.712,2.164,194.414,89.733,7.359,56.131,72.822
3.741,2.197,192.625,89.448,7.405,56.325,72.147
3.77,2.193,191.087,89.134,7.466,56.735,73.655
3.798,2.148,190.877,88.88,7.482,56.703,70.649
3.823,2.297,191.328,88.937,7.512,58.576,71.113
3.846,2.502,191.676,88.411,7.497,57.74,73.02
3.87,2.552,191.314,88.634,7.512,56.414,72.445
3.895,2.421,191.842,88.532,7.528,56.204,71
3.919,2.488,191.768,88.713,7.543,57.361,72.068
3.945,2.436,191.681,88.835,7.543,57.582,73.225
3.968,2.461,191.482,88.746,7.558,58.881,75.077
3.992,2.261,191.725,87.882,7.543,59.412,72.246
4.013,2.227,192.203,85.626,7.543,59.857,69.492
4.038,2.344,190.162,85.151,7.528,60.48,70.399
