Depth,PenRate,PercPress,FeedPress,FlushAirPress,RotPress,DampPress
0.022,0.591,133.018,21.098,3.917,40.535,44.313
0.048,1.039,119.72,19.065,3.856,35.065,43.237
0.075,4.02,126.744,23.639,4.131,34.487,43.752
0.098,3.387,137.642,25.307,4.376,36.209,43.92
0.121,2.16,141.716,23.976,4.667,36.211,43.835
0.154,1.14,13.354,0.342,3.901,38.282,39.903
0.175,0.35,136.506,24.627,5.11,37.16,40.398
0.197,2.049,138.547,24.396,5.187,38.782,40.449
0.219,1.668,136.539,23.633,5.324,37.969,40.936
0.239,0.565,135.353,24.702,5.539,35.255,40.726
0.262,2.157,134.33,27.471,5.554,35.762,40.915
0.288,2.786,134.648,27.705,5.569,35.976,41.546
0.315,2.576,135.693,28.333,5.569,36.301,41.932
0.34,2.691,135.802,27.97,5.615,36.799,41.906
0.366,2.475,135.985,26.708,5.63,36.666,42.036
0.391,2.657,135.956,26.547,5.646,35.456,42.108
0.418,2.592,132.58,26.979,5.646,35.848,42.148
0.443,2.675,132.258,28.003,5.661,37.506,42.053
0.468,3.668,132.818,28.088,5.661,38.675,41.96
0.491,3.464,131.644,28.097,5.676,38.859,41.851
0.519,2.672,131.994,27.348,5.692,37.556,41.875
0.545,4.824,136.578,26.001,4.437,36.561,41.01
0.578,4.959,139.331,28.336,4.621,39.334,41.603
0.609,4.552,139.85,30.195,4.774,44.063,42.12
0.63,3.242,141.648,32.29,4.881,45.337,42.221
0.651,0.514,138.712,23.923,5.386,34.394,42.055
0.674,1.755,137.544,28.1,5.493,35.056,41.851
0.696,3.223,138.914,32.955,5.539,40.383,42.402
0.716,1.023,138.46,27.151,5.676,37.017,41.764
0.739,1.331,138.869,27.57,5.753,36.187,41.502
0.76,1.307,135.236,27.455,5.783,36.04,41.748
0.781,3.234,135.479,29.196,5.814,38.171,41.757
0.803,2.093,135.362,30.63,5.829,41.018,41.954
0.831,2.093,135.578,30.879,5.86,41.965,42.345
0.858,2.026,135.347,31.199,5.906,41.939,41.876
0.882,1.757,135.672,31.25,5.921,41.52,42.302
0.908,1.94,135.661,31.03,5.906,42.124,41.623
0.929,1.967,135.467,30.887,5.936,41.395,42.075
0.954,1.948,135.082,30.22,5.952,40.405,41.869
0.975,2.238,135.316,30.421,5.936,42.396,41.646
0.995,1.937,135.43,30.385,5.952,42.655,42.014
1.023,2.101,135.975,30.637,5.967,42.572,41.879
1.044,2.246,135.713,31.325,5.952,42.332,42.323
1.066,3.342,135.072,41.456,5.982,46.366,43.673
1.092,2.444,135.636,47.969,5.982,50.754,46.186
1.119,1.972,135.462,50.468,5.967,53.175,49.005
1.14,1.607,135.639,50.491,5.967,52.667,49.162
1.165,1.534,135.977,50.519,5.982,52.059,49.581
1.186,1.591,135.445,50.83,5.967,49.817,49.362
1.207,2.009,135.128,49.316,5.967,50.185,47.321
1.228,2.229,135.488,48.982,5.967,51.134,46.754
1.253,2.39,135.656,48.752,5.982,51.4,46.756
1.277,2.277,135.191,49.475,5.998,51.24,46.638
1.304,2.066,135.234,49.89,5.982,54.69,47.497
1.344,2.95,143.23,47.477,5.569,46.108,47.456
1.367,1.476,139.853,52.121,5.646,55.532,51.248
1.39,1.364,138.288,57.861,5.722,57.637,56.414
1.411,1.312,138.617,56.504,5.768,55.491,54.742
1.437,1.504,147.804,64.108,5.783,54.6,59.08
1.463,1.924,167.363,83.124,5.799,55.954,70.734
